Schedule_ID,Route_Code,Stop_ID,Trip_Number,Direction,Operating_Days,Departure_Time,
IMS-22,ISHIUCHI_DIRECT,IM-03,11,To_Resort,Daily,17:47,
IML-01,ISHIUCHI_LOOP,IM-01,1,Loop,Daily,8:15,
IML-02,ISHIUCHI_LOOP,IM-01,2,Loop,Daily,9:00,
IML-03,ISHIUCHI_LOOP,IM-01,3,Loop,Daily,9:45,
IML-04,ISHIUCHI_LOOP,IM-01,4,Loop,Daily,10:30,
IML-05,ISHIUCHI_LOOP,IM-01,5,Loop,Daily,11:10,
IML-06,ISHIUCHI_LOOP,IM-01,6,Loop,Daily,13:00,
IML-07,ISHIUCHI_LOOP,IM-01,7,Loop,Daily,14:00,
IML-08,ISHIUCHI_LOOP,IM-01,8,Loop,Daily,14:55,
IML-09,ISHIUCHI_LOOP,IM-01,9,Loop,Daily,15:40,
IML-10,ISHIUCHI_LOOP,IM-01,10,Loop,Daily,16:25,
IMN-01,ISHIUCHI_NIGHT,IM-01,1,To_Station,Night_Ski_Days,18:20,
IMN-02,ISHIUCHI_NIGHT,IM-01,2,To_Station,Night_Ski_Days,19:20,
IMN-03,ISHIUCHI_NIGHT,IM-01,3,To_Station,Night_Ski_Days,20:20,
IWS-01,IWAHARA,IW-01,1,To_Resort,Weekday,7:45,
IWS-02,IWAHARA,IW-01,2,To_Resort,Weekday,8:15,
IWS-03,IWAHARA,IW-01,3,To_Resort,Weekday,8:45,
IWS-04,IWAHARA,IW-01,4,To_Resort,Weekday,9:15,
IWS-05,IWAHARA,IW-01,5,To_Resort,Weekday,10:00,
IWS-06,IWAHARA,IW-01,6,To_Resort,Weekday,13:00,
IWS-07,IWAHARA,IW-01,7,To_Resort,Weekday,14:00,
IWS-08,IWAHARA,IW-01,8,To_Resort,Weekday,15:00,
IWS-09,IWAHARA,IW-01,9,To_Resort,Weekday,17:15,
IWS-10,IWAHARA,IW-03,1,To_Station,Weekday,9:40,
IWS-11,IWAHARA,IW-03,2,To_Station,Weekday,13:30,
IWS-12,IWAHARA,IW-03,3,To_Station,Weekday,14:30,
IWS-13,IWAHARA,IW-03,4,To_Station,Weekday,15:30,
IWS-14,IWAHARA,IW-03,5,To_Station,Weekday,16:00,
IWS-15,IWAHARA,IW-03,6,To_Station,Weekday,16:30,
IWS-16,IWAHARA,IW-03,7,To_Station,Weekday,17:00,
IWS-17,IWAHARA,IW-03,8,To_Station,Weekday,17:30,
IWS-18,IWAHARA,IW-01,1,To_Resort,Weekend/Holiday,7:40,
IWS-19,IWAHARA,IW-01,2,To_Resort,Weekend/Holiday,8:00,
IWS-20,IWAHARA,IW-01,3,To_Resort,Weekend/Holiday,8:30,
IWS-21,IWAHARA,IW-01,4,To_Resort,Weekend/Holiday,9:00,
IWS-22,IWAHARA,IW-01,5,To_Resort,Weekend/Holiday,9:20,
IWS-23,IWAHARA,IW-01,6,To_Resort,Weekend/Holiday,9:40,
IWS-24,IWAHARA,IW-01,7,To_Resort,Weekend/Holiday,10:00,
IWS-25,IWAHARA,IW-01,8,To_Resort,Weekend/Holiday,10:40,
IWS-26,IWAHARA,IW-01,9,To_Resort,Weekend/Holiday,11:10,
IWS-27,IWAHARA,IW-01,10,To_Resort,Weekend/Holiday,12:00,
IWS-28,IWAHARA,IW-01,11,To_Resort,Weekend/Holiday,12:40,
IWS-29,IWAHARA,IW-01,12,To_Resort,Weekend/Holiday,13:40,
IWS-30,IWAHARA,IW-01,13,To_Resort,Weekend/Holiday,14:40,
IWS-31,IWAHARA,IW-01,14,To_Resort,Weekend/Holiday,15:40,
IWS-32,IWAHARA,IW-01,15,To_Resort,Weekend/Holiday,16:40,
IWS-33,IWAHARA,IW-01,16,To_Resort,Weekend/Holiday,17:40,
IWS-34,IWAHARA,IW-03,1,To_Station,Weekend/Holiday,9:40,
IWS-35,IWAHARA,IW-03,2,To_Station,Weekend/Holiday,10:20,
IWS-36,IWAHARA,IW-03,3,To_Station,Weekend/Holiday,11:00,
IWS-37,IWAHARA,IW-03,4,To_Station,Weekend/Holiday,11:40,
IWS-38,IWAHARA,IW-03,5,To_Station,Weekend/Holiday,12:20,
IWS-39,IWAHARA,IW-03,6,To_Station,Weekend/Holiday,13:20,
IWS-40,IWAHARA,IW-03,7,To_Station,Weekend/Holiday,14:00,
IWS-41,IWAHARA,IW-03,8,To_Station,Weekend/Holiday,14:20,
IWS-42,IWAHARA,IW-03,9,To_Station,Weekend/Holiday,15:00,
IWS-43,IWAHARA,IW-03,10,To_Station,Weekend/Holiday,15:20,
IWS-44,IWAHARA,IW-03,11,To_Station,Weekend/Holiday,16:00,
IWS-45,IWAHARA,IW-03,12,To_Station,Weekend/Holiday,16:20,
IWS-46,IWAHARA,IW-03,13,To_Station,Weekend/Holiday,17:00,
IWS-47,IWAHARA,IW-03,14,To_Station,Weekend/Holiday,17:20,
IWS-48,IWAHARA,IW-03,15,To_Station,Weekend/Holiday,18:20,
IWJ-01,IWAHARA_JOKOKU,IW-05,1,To_Joetsu_Kokusai,Daily_Reservation,8:20,
IWJ-02,IWAHARA_JOKOKU,IW-03,2,To_Joetsu_Kokusai,Daily_Reservation,9:45,
IWJ-03,IWAHARA_JOKOKU,IW-03,3,To_Joetsu_Kokusai,Daily_Direct,16:10,
IWJ-04,IWAHARA_JOKOKU,IW-03,4,To_Joetsu_Kokusai,Weekend_Holiday_Only,17:40,
IWJ-05,IWAHARA_JOKOKU,IW-04,1,To_Iwappara,Daily_Direct,9:10,
IWJ-06,IWAHARA_JOKOKU,IW-04,2,To_Iwappara,Daily_Reservation,15:30,
IWJ-07,IWAHARA_JOKOKU,IW-04,3,To_Iwappara,Weekend_Holiday_Only,17:00,
NKS-01,NAKASATO,NK-01,1,To_Resort,Daily,8:00,
NKS-02,NAKASATO,NK-01,2,To_Resort,Daily,8:20,
NKS-03,NAKASATO,NK-01,3,To_Resort,Daily,8:40,
NKS-04,NAKASATO,NK-01,4,To_Resort,Daily,9:00,
NKS-05,NAKASATO,NK-01,5,To_Resort,Daily,9:20,
NKS-06,NAKASATO,NK-01,6,To_Resort,Daily,9:40,
NKS-07,NAKASATO,NK-01,7,To_Resort,Daily,10:00,
NKS-08,NAKASATO,NK-01,8,To_Resort,Daily,10:20,
NKS-09,NAKASATO,NK-01,9,To_Resort,Daily,10:40,
NKS-10,NAKASATO,NK-01,10,To_Resort,Daily,11:00,
NKS-11,NAKASATO,NK-01,11,To_Resort,Daily,11:20,
NKS-12,NAKASATO,NK-01,12,To_Resort,Daily,11:40,
NKS-13,NAKASATO,NK-01,13,To_Resort,Daily,13:00,
NKS-14,NAKASATO,NK-01,14,To_Resort,Daily,13:20,
NKS-15,NAKASATO,NK-01,15,To_Resort,Daily,13:40,
NKS-16,NAKASATO,NK-01,16,To_Resort,Daily,14:00,
NKS-17,NAKASATO,NK-01,17,To_Resort,Daily,14:20,
NKS-18,NAKASATO,NK-01,18,To_Resort,Daily,14:40,
NKS-19,NAKASATO,NK-01,19,To_Resort,Daily,15:00,
NKS-20,NAKASATO,NK-01,20,To_Resort,Daily,15:20,
NKS-21,NAKASATO,NK-01,21,To_Resort,Daily,15:40,
NKS-22,NAKASATO,NK-01,22,To_Resort,Daily,16:00,
NKS-23,NAKASATO,NK-01,23,To_Resort,Daily,16:20,
NKS-24,NAKASATO,NK-01,24,To_Resort,Daily,16:40,
NKS-25,NAKASATO,NK-01,25,To_Resort,Daily,17:00,
NKS-26,NAKASATO,NK-02,1,To_Station,Daily,9:50,
NKS-27,NAKASATO,NK-02,2,To_Station,Daily,10:10,
NKS-28,NAKASATO,NK-02,3,To_Station,Daily,10:30,
NKS-29,NAKASATO,NK-02,4,To_Station,Daily,10:50,
NKS-30,NAKASATO,NK-02,5,To_Station,Daily,11:10,
NKS-31,NAKASATO,NK-02,6,To_Station,Daily,12:30,
NKS-32,NAKASATO,NK-02,7,To_Station,Daily,12:50,
NKS-33,NAKASATO,NK-02,8,To_Station,Daily,13:10,
NKS-34,NAKASATO,NK-02,9,To_Station,Daily,13:30,
NKS-35,NAKASATO,NK-02,10,To_Station,Daily,13:50,
NKS-36,NAKASATO,NK-02,11,To_Station,Daily,14:10,
NKS-37,NAKASATO,NK-02,12,To_Station,Daily,14:30,
NKS-38,NAKASATO,NK-02,13,To_Station,Daily,14:50,
NKS-39,NAKASATO,NK-02,14,To_Station,Daily,15:10,
NKS-40,NAKASATO,NK-02,15,To_Station,Daily,15:30,
NKS-41,NAKASATO,NK-02,16,To_Station,Daily,15:50,
NKS-42,NAKASATO,NK-02,17,To_Station,Daily,16:10,
NKS-43,NAKASATO,NK-02,18,To_Station,Daily,16:30,
NKS-44,NAKASATO,NK-02,19,To_Station,Daily,16:50,
NKS-45,NAKASATO,NK-02,20,To_Station,Daily,17:10,
NKS-46,NAKASATO,NK-02,21,To_Station,Daily,17:30,
CSS-01,CHATEAU_SHIOZAWA,CS-01,1,To_Resort,Daily_Guests_Only,9:00,> **Operational Metadata:**
CSS-02,CHATEAU_SHIOZAWA,CS-01,2,To_Resort,Daily_Guests_Only,9:30,> * Service is reserved exclusively for guests staying at **Chateau Tell Ipponsugi (シャトーテル一本杉)** or **Chateau Tell Yoshizato (シャトーテル吉里)**
CSS-03,CHATEAU_SHIOZAWA,CS-01,3,To_Resort,Daily_Guests_Only,10:00,
CSS-04,CHATEAU_SHIOZAWA,CS-01,4,To_Resort,Daily_Guests_Only,11:00,
CSS-05,CHATEAU_SHIOZAWA,CS-02,1,To_Resort,Daily_Guests_Only,11:50,> * Pickups from **Echigo-Yuzawa Station** run only during the morning window (`09:00`–`11:00`) after which inbound pickups shift to **Shiozawa Station** (`11:50`–`17:30`)
CSS-06,CHATEAU_SHIOZAWA,CS-02,2,To_Resort,Daily_Guests_Only,12:40,
CSS-07,CHATEAU_SHIOZAWA,CS-02,3,To_Resort,Daily_Guests_Only,13:40,
CSS-08,CHATEAU_SHIOZAWA,CS-02,4,To_Resort,Daily_Guests_Only,14:40,> * Outbound return trips run to **Shiozawa Station** in the morning (`09:00`–`12:10`) after which inbound pickups shift to **Shiozawa Station** (`11:50`–`17:30`)
CSS-09,CHATEAU_SHIOZAWA,CS-02,5,To_Resort,Daily_Guests_Only,15:40,
CSS-10,CHATEAU_SHIOZAWA,CS-02,6,To_Resort,Daily_Guests_Only,16:30,
CSS-11,CHATEAU_SHIOZAWA,CS-02,7,To_Resort,Daily_Guests_Only,17:30,
CSS-12,CHATEAU_SHIOZAWA,CS-03,1,To_Shiozawa_Sta,Daily_Guests_Only,9:00,
CSS-13,CHATEAU_SHIOZAWA,CS-04,1,To_Shiozawa_Sta,Daily_Guests_Only,9:10,
CSS-14,CHATEAU_SHIOZAWA,CS-03,2,To_Shiozawa_Sta,Daily_Guests_Only,10:00,
CSS-15,CHATEAU_SHIOZAWA,CS-04,2,To_Shiozawa_Sta,Daily_Guests_Only,10:10,
CSS-16,CHATEAU_SHIOZAWA,CS-03,3,To_Shiozawa_Sta,Daily_Guests_Only,11:00,
CSS-17,CHATEAU_SHIOZAWA,CS-04,3,To_Shiozawa_Sta,Daily_Guests_Only,11:10,
CSS-18,CHATEAU_SHIOZAWA,CS-03,4,To_Shiozawa_Sta,Daily_Guests_Only,12:00,
CSS-19,CHATEAU_SHIOZAWA,CS-04,4,To_Shiozawa_Sta,Daily_Guests_Only,12:10,
CSS-20,CHATEAU_SHIOZAWA,CS-03,5,To_Yuzawa_Sta,Daily_Guests_Only,14:20,
CSS-21,CHATEAU_SHIOZAWA,CS-04,5,To_Yuzawa_Sta,Daily_Guests_Only,14:30,
CSS-22,CHATEAU_SHIOZAWA,CS-03,6,To_Yuzawa_Sta,Daily_Guests_Only,15:20,
CSS-23,CHATEAU_SHIOZAWA,CS-04,6,To_Yuzawa_Sta,Daily_Guests_Only,15:30,
CSS-24,CHATEAU_SHIOZAWA,CS-03,7,To_Yuzawa_Sta,Daily_Guests_Only,16:10,
CSS-25,CHATEAU_SHIOZAWA,CS-04,7,To_Yuzawa_Sta,Daily_Guests_Only,16:20,
CSS-26,CHATEAU_SHIOZAWA,CS-03,8,To_Yuzawa_Sta,Daily_Guests_Only,16:50,
CSS-27,CHATEAU_SHIOZAWA,CS-04,8,To_Yuzawa_Sta,Daily_Guests_Only,17:00,
CSS-28,CHATEAU_SHIOZAWA,CS-03,9,To_Yuzawa_Sta,Daily_Guests_Only,17:20,
CSS-29,CHATEAU_SHIOZAWA,CS-04,9,To_Yuzawa_Sta,Daily_Guests_Only,17:30,
KNS-01,KAGURA_LOCAL,KN-01,1,To_Naeba,Daily,5:35,
KNS-02,KAGURA_EXPRESS,KN-01,2,To_Naeba,Weekday,7:40,
KNS-03,KAGURA_EXPRESS,KN-01,2,To_Naeba,Weekend/Holiday,7:40,
KNS-04,KAGURA_LOCAL,KN-01,3,To_Naeba,Daily,8:20,
KNS-05,KAGURA_EXPRESS,KN-01,4,To_Naeba,Daily,8:40,
KNS-06,KAGURA_EXPRESS,KN-01,5,To_Naeba,Weekend/Holiday,9:10,
KNS-07,KAGURA_LOCAL,KN-01,6,To_Naeba,Daily,9:40,
KNS-08,KAGURA_EXPRESS,KN-01,7,To_Naeba,Weekend/Holiday,10:00,
KNS-09,KAGURA_EXPRESS,KN-01,8,To_Naeba,Daily,11:00,
KNS-10,KAGURA_LOCAL,KN-01,9,To_Naeba,Daily,11:50,
KNS-11,KAGURA_LOCAL,KN-01,10,To_Naeba,Daily,13:10,
KNS-12,KAGURA_EXPRESS,KN-02,11,To_Naeba,Weekend/Holiday,15:33,
KNS-13,KAGURA_LOCAL,KN-01,12,To_Naeba,Daily,15:30,
KNS-14,KAGURA_EXPRESS,KN-02,13,To_Naeba,Daily,15:58,
KNS-15,KAGURA_EXPRESS,KN-02,14,To_Naeba,Weekend/Holiday,16:43,
KNS-16,KAGURA_LOCAL,KN-01,15,To_Naeba,Daily,17:15,
KNS-17,KAGURA_LOCAL,KN-01,16,To_Naeba,Daily,18:40,
KNS-18,KAGURA_LOCAL,KN-09,1,To_Station,Daily,6:20,
KNS-19,KAGURA_EXPRESS,KN-08,2,To_Station,Weekend/Holiday,8:35,
KNS-20,KAGURA_LOCAL,KN-09,3,To_Station,Daily,9:20,
KNS-21,KAGURA_EXPRESS,KN-08,4,To_Station,Daily,9:35,
KNS-22,KAGURA_EXPRESS,KN-08,5,To_Station,Weekend/Holiday,10:05,
KNS-23,KAGURA_LOCAL,KN-09,6,To_Station,Daily,10:40,
KNS-24,KAGURA_EXPRESS,KN-08,7,To_Station,Weekend/Holiday,10:55,
KNS-25,KAGURA_EXPRESS,KN-08,8,To_Station,Daily,11:55,
KNS-26,KAGURA_LOCAL,KN-09,9,To_Station,Daily,12:50,
KNS-27,KAGURA_LOCAL,KN-09,10,To_Station,Daily,14:10,
KNS-28,KAGURA_EXPRESS,KN-08,11,To_Station,Weekend/Holiday,14:40,
KNS-29,KAGURA_EXPRESS,KN-05,12,To_Station,Weekday,14:55,
KNS-30,KAGURA_EXPRESS,KN-08,13,To_Station,Weekend/Holiday,15:10,
KNS-31,KAGURA_EXPRESS,KN-08,14,To_Station,Weekend/Holiday,16:10,
KNS-32,KAGURA_EXPRESS,KN-05,15,To_Station,Weekday,16:25,
KNS-33,KAGURA_EXPRESS,KN-08,16,To_Station,Daily,16:35,
KNS-34,KAGURA_LOCAL,KN-09,17,To_Station,Daily,16:45,
KNS-35,KAGURA_EXPRESS,KN-08,18,To_Station,Weekend/Holiday,17:20,
KNS-36,KAGURA_LOCAL,KN-09,19,To_Station,Daily,18:15,
KNS-37,KAGURA_LOCAL,KN-09,20,To_Station,Daily,19:32,
MHS-01,MAIKO_HOTEL,MK-01,1,To_Hotel,Daily,8:10,> **Operational Metadata & Rules:**
MHS-02,MAIKO_HOTEL,MK-04,1,To_Station,Daily,8:50,> * **Two Distinct Routes:** Route A (`MAIKO_HOTEL`) loops through Kadoya and Maiko Parking before terminating at Maiko Kogen Hotel; Route B (`MAIKO_DIRECT`) is a direct non-stop connection between Echigo-Yuzawa Station and the Day Ski Center Gondola base.
MHS-03,MAIKO_HOTEL,MK-01,2,To_Hotel,Daily,9:30,
MHS-04,MAIKO_HOTEL,MK-01,3,To_Hotel,Daily,10:50,
MHS-05,MAIKO_HOTEL,MK-04,2,To_Station,Daily,10:10,
MHS-06,MAIKO_HOTEL,MK-04,3,To_Station,Daily,11:30,"
> * **Evening Hotel Reservation:** Trip `18:20` from Echigo-Yuzawa Station is strictly for registered guests of Maiko Kogen Hotel and requires phone reservation by 12:00 PM on the day of travel (`025-783-3511`)."
MHS-07,MAIKO_HOTEL,MK-01,4,To_Hotel,Daily,12:10,
MHS-08,MAIKO_HOTEL,MK-04,4,To_Station,Daily,13:50,
MHS-09,MAIKO_HOTEL,MK-01,5,To_Hotel,Daily,14:30,
MHS-10,MAIKO_HOTEL,MK-04,5,To_Station,Daily,15:10,"
> * **Night Ski Return Variations:** On Sunday night ski days and year-end/New Year's, the return departs at `19:15`. On Saturday night ski days (and specific dates 1/2, 1/11, 2/22), departure shifts to `20:15`."
MHS-11,MAIKO_HOTEL,MK-01,6,To_Hotel,Daily,15:50,
MHS-12,MAIKO_HOTEL,MK-04,6,To_Station,Daily,16:20,
MHS-13,MAIKO_HOTEL,MK-01,7,To_Hotel,Daily,17:00,
MHS-14,MAIKO_HOTEL,MK-04,7,To_Station,Daily,17:40,
MHS-15,MAIKO_HOTEL,MK-01,8,To_Hotel,Guests_Only_Reservation,18:20,
MHS-16,MAIKO_HOTEL,MK-04,8,To_Station,Night_Sun_Holiday,19:15,
MHS-17,MAIKO_HOTEL,MK-04,9,To_Station,Night_Sat_Special,20:15,
MDS-01,MAIKO_DIRECT,MK-01,1,To_Resort,Weekend/Holiday,7:50,
MDS-02,MAIKO_DIRECT,MK-01,2,To_Resort,Weekday,8:00,
MDS-03,MAIKO_DIRECT,MK-01,3,To_Resort,Daily,8:20,
MDS-04,MAIKO_DIRECT,MK-01,4,To_Resort,Daily,8:40,
MDS-05,MAIKO_DIRECT,MK-01,5,To_Resort,Daily,9:00,
MDS-06,MAIKO_DIRECT,MK-01,6,To_Resort,Daily,9:20,
MDS-07,MAIKO_DIRECT,MK-01,7,To_Resort,Daily,9:40,
MDS-08,MAIKO_DIRECT,MK-01,8,To_Resort,Weekend/Holiday,10:00,
MDS-09,MAIKO_DIRECT,MK-01,9,To_Resort,Daily,10:30,
MDS-10,MAIKO_DIRECT,MK-01,10,To_Resort,Daily,11:30,
MDS-11,MAIKO_DIRECT,MK-05,1,To_Station,Daily,13:30,
MDS-12,MAIKO_DIRECT,MK-05,2,To_Station,Daily,14:30,
MDS-13,MAIKO_DIRECT,MK-05,3,To_Station,Daily,15:30,
MDS-14,MAIKO_DIRECT,MK-05,4,To_Station,Daily,16:00,
MDS-15,MAIKO_DIRECT,MK-05,5,To_Station,Daily,16:20,
MDS-16,MAIKO_DIRECT,MK-05,6,To_Station,Daily,16:40,
MDS-17,MAIKO_DIRECT,MK-05,7,To_Station,Daily,17:00,
MDS-18,MAIKO_DIRECT,MK-05,8,To_Station,Daily,17:20,
MDS-19,MAIKO_DIRECT,MK-05,9,To_Station,Daily,17:40,
MDS-20,MAIKO_DIRECT,MK-05,10,To_Station,Weekend/Holiday,18:10,
MCS-01,MUICA,MC-01,1,To_Resort,Daily,8:50,
MCS-02,MUICA,MC-01,2,To_Resort,Daily,9:40,
MCS-03,MUICA,MC-01,3,To_Resort,Daily,11:10,
MCS-04,MUICA,MC-01,4,To_Resort,Daily,12:50,
MCS-05,MUICA,MC-01,5,To_Resort,Daily,13:50,
MCS-06,MUICA,MC-01,6,To_Resort,Daily,14:50,
MCS-07,MUICA,MC-01,7,To_Resort,Daily,15:50,
MCS-08,MUICA,MC-02,1,To_Station,Daily,8:25,
MCS-09,MUICA,MC-02,2,To_Station,Daily,9:10,
MCS-10,MUICA,MC-02,3,To_Station,Daily,10:30,
MCS-11,MUICA,MC-02,4,To_Station,Daily,12:10,
MCS-12,MUICA,MC-02,5,To_Station,Daily,13:05,
MCS-13,MUICA,MC-02,6,To_Station,Daily,14:20,
MCS-14,MUICA,MC-02,7,To_Station,Daily,15:05,
MCS-15,MUICA,MC-02,8,To_Station,Daily,16:05,
MCS-16,MUICA,MC-02,9,To_Station,Daily,17:00,
